id,name,full_name,address,legal_address,email,phone,fax,site,director,director_id,director_post,organization_rights_form,priority,upstanding_organization_id,is_published,organization_category_id,sr_organization_category_id,slug,created_at,updated_at
27,Филикровля,"ОАО &quot;Завод Филикровля&quot;","123995, г. Москва, Г-170, ГСП-5, Кутузовский пр-д, д. 16","117556, г. Москва, Фруктовая ул., д. 7, корп. 2",market@filizol.ru,"(499) 1450760, 1485362, 1425920, 9833040 - многоканальный","(499) 1425920",http://www.filizol.ru,"Малевинский Александр Кириллович",NULL,"Исполнительный директор",ОАО,0,NULL,0,33,NULL,filikrovlya,"2002-04-06 16:32:11","2012-12-06 12:07:39"
28,НИАЦ,"Государственное унитарное предприятие города Москвы ""Управление экономических исследований, информатизации и координации проектных работ"" (ГУП ""НИАЦ"")","125047, г. Москва, Триумфальная пл., д. 1","125047, г. Москва, Триумфальная пл., д. 1",salamova@mka.mos.ru,"+7 (499) 251-31-60","+7 (499) 250-99-28",,"Дронова Ирина Львовна",NULL,"Генеральный директор",ГУП,0,NULL,1,19,NULL,niats,"2002-04-06 16:32:13","2013-04-04 13:27:23"
29,"Департамент культурного наследия города Москвы_","Департамент культурного наследия города Москвы_","115035, г. Москва, ул. Пятницкая, д. 19","115035, г. Москва, ул. Пятницкая, д. 19",info@mkns.mos.ru,"+7 (495) 957-73-54, 953-23-24","+7 (495) 951-06-03",http://dkn.mos.ru/,"Кибовский Александр Владимирович",NULL,руководитель,NULL,0,NULL,0,33,NULL,departament_kulturnogo_naslediya_goroda_moskvi,"2002-04-06 16:32:14","2013-07-09 14:55:34"
30,ДОК-5_,"ОАО ""Деревообрабатывающий комбинат № 5""","121351, г. Москва, Молодогвардейская ул., д. 61","125351, г. Москва, ул. Молодогвардейская, д. 61",info@dok5.ru,"(495) 4170614, 4172015, 4171235","(495) 4171235, 4172014",http://www.dok5.ru,"Митяков Евгений Анатольевич",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,dok_5,"2002-04-06 16:32:14","2013-06-17 16:57:09"
31,ДОК-13,"ОАО &quot;Деревообрабатывающий комбинат № 13&quot; (ДОК-13)","140005, Московская обл., г. Люберцы, Кирова ул., д. 20а","140005, г. Люберцы, ул. Кирова, д. 20а",postmaster@dok-parket.ru,"(495) 5031233, 5592574, 5031227, 5031290","(495) 5031233",http://www.dok-13.ru,"Дубинский  Геннадий Владимирович",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,dok_13,"2002-04-06 16:32:15","2012-12-06 12:24:52"
32,Мосстройпластмасс,"ОАО ""Мосстройпластмасс""","141004, Московская обл., г. Мытищи, Силикатная ул., д. 19","141004, Московская обл., г. Мытищи, ул. Силикатная, д. 19",oao@mspm.ru,"+7(495) 583-84-64","+7(495) 583-64-65",http://www.mspm.ru,"Марченко Вячеслав Владимирович",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,mosstroyplastmass,"2002-04-06 16:32:15","2013-05-29 16:01:38"
33,Гипсобетон,"ОАО &quot;Гипсобетон&quot;","142700, Московская обл., Ленинский р-н, г. Видное, Промзона","142700, Московская обл., г. Видное, Промзона","info@gipsobeton.ru, gypsobeton@mail.ru","(495) 5413443, 5418933","(495) 5413443",,"Попов Александр Владимирович",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,gipsobeton,"2002-04-06 16:32:15","2012-12-06 12:24:32"
34,"Опытный завод сухих смесей","ОАО &quot;Опытный завод сухих смесей&quot;","117403, г. Москва, Мелитопольская ул., вл. 11, к. 2","117403, г. Москва, Ступинский пр-д, д. 6а",info@birss.ru,"(495) 3852177, 3834245","(495) 3831002",http://www.birss.ru,"Ланглейбен Илья Борисович",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,opitniy_zavod_suhih_smesey,"2002-04-06 16:32:15","2012-12-06 12:11:44"
35,"Лосиноостровский завод СМиК","ОАО &quot;Лосиноостровский завод строительных материалов и конструкций&quot;","127081, г. Москва, Полярная ул., д. 25","129081, г. Москва, ул. Полярная, д. 25",kirpich@lzcmik.ru,"(495) 4771377","(495) 4773179",http://www.losinka-kirpich.ru,"Мирончев Анатолий Иванович",NULL,Директор,ОАО,0,NULL,0,33,NULL,losinoostrovskiy_zavod_smik,"2002-04-06 16:32:15","2012-12-06 12:19:59"
36,"Бескудниковский комбинат строительных материалов-","ОАО ""Бескудниковский комбинат строительных материалов""-","127410, г. Москва, Стандартная ул., д. 6","127410, г. Москва, ул. Стандартная, д. 6",bksm@mail.ru,"(499) 9014688, 901455, 9014877, 9014854","(499) 9014645",http://www.bksm.ucoz.ru,"Богачкин Николай Васильевич",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,beskudnikovskiy_kombinat_stroitelnih_materialov,"2002-04-06 16:32:16","2013-07-30 10:27:00"
