"id";"name";"meta_keywords";"tags"
"121";"Запуск тоннелепроходческого щита от станции метро ""Хорошевская"" до ст. ""Деловой центр"". В. Швецов";"";"метро|строительство метро|тоннели|ТПМК|тоннелепроходческий щит|Третий пересадочный контур"
"122";"Чин освящения закладного камня в основание храма в честь Иверской иконы Божией Матери";"";\N
"123";"Запуск тоннелепроходческого щита от станции метро ""Лесопарковая"" до ст. ""Битцевский парк""";"";"метро|строительство метро|тоннели|ТПМК|тоннелепроходческий щит|Бутовская линия"
"124";"Осмотр хода строительства продления Таганско-Краснопресненской линии метро (ст. ""Выхино"" - ст. ""Котельники""). С. Собянин, М. Хуснуллин";"";"Марат Хуснуллин|метро|строительство метро|Таганско-Краснопресненская линия"
"125";"День строителя - 2012. Олимпийский комплекс ""Лужники"". С. Собянин, М. Хуснуллин";"";"Программа-200|Марат Хуснуллин"
"126";"Посещение нового здания лицея № 1524 в Печатниках. С. Собянин, М. Хуснуллин";"";"Марат Хуснуллин|школа|объекты образования"
"127";"Осмотр хода строительства станции ""Лесопарковая"" Бутовской линии метрополитена. С. Собянин, М. Хуснуллин";"";"метро|строительство метро|Бутовская линия|станции метро"
"128";"Осмотр строительства участка Северо-Восточной хорды от шоссе Энтузиастов до Измайловского шоссе. С. Собянин, М. Хуснуллин";"";"дороги|Марат Хуснуллин|хорда"
"129";"Заключительный семинар конкурса на разработку проекта концепции развития Московской агломерации. М. Хуснуллин";"";"Марат Хуснуллин|новая Москва"
"130";"Открытие выставки проектов концепции Московской агломерации. С. Собянин, М. Хуснуллин";"";"конкурсы|новая Москва"
"131";"Открытие станции ""Новокосино"" Калининской линии метрополитена. В. Путин, С. Собянин, И. Беседин";"";"метро|строительство метро|станции метро|Калининская линия"
"132";"Открытие комплекса зданий 1-го Московского кадетского корпуса";"кадетский корпус";"школа|объекты образования"
"133";"Открытие после реконструкции четвертого корпуса Московской консерватории";"";"объекты образования|реконструкция"
"134";"Подведение итогов конкурса на разработку концепции развития Московской агломерации. М. Хуснуллин, А. Боков, А. Высоковский";"";"Марат Хуснуллин|конкурсы"
"135";"Пресс-показ, посвященный реализации программы г. Москвы ""Градостроительная политика"" в ЦАО. С. Лёвкин, С. Байдаков";"реконструкция, градостроительная политика";"Москва|презентация|Сергей Лёвкин|строительство"
"136";"Семинар «Обеспечение техники безопасности при строительстве линий московского метрополитена». В. Швецов";"";"метро|строительство метро"
"137";"Открытие гаражного комплекса на Краснопрудной улице. И. Кузнецов";"";"народный гараж"
"138";"Запуск движения по новой автомагистрали от Звенигородского шоссе до ММДЦ ""Москва-Сити"". С. Собянин, М. Хуснуллин";"";"дороги|Марат Хуснуллин"
"139";"Осмотр хода строительства станции ""Деловой центр"" Калининско-Солнцевской линии метрополитена. С. Собянин, М. Хуснуллин";"";"Марат Хуснуллин|метро|строительство метро|Калининско-Солнцевская линия|станции метро"
"140";"Открытие выставки ""Большая Москва. XX век"" в музее архитектуры им. А.В. Щусева. М. Хуснуллин, С. Кузнецов";"выставка, Генплан, развитие Москвы";"Марат Хуснуллин|Сергей Кузнецов|выставка"
"141";"Строительство участка Бутовской линии метрополитена от станции ""Улица Старокачаловская"" до станции ""Битцевский парк"". С. Собянин, М. Хуснуллин, А. Бочкарев";"";"Марат Хуснуллин|Андрей Бочкарев|метро|строительство метро|Бутовская линия"
"142";"Посещение нового корпуса детского сада на Озерной улице (ЗАО). С. Собянин";"";"Москва|ДОУ|детские сады"
"143";"Встреча с ветеранами Стройкомплекса в Центральном доме архитектора. М. Хуснуллин";"социальная политика, ветераны, встреча";"Марат Хуснуллин"
"144";"Посещение шахты № 915 строящейся станции ""Петровско-Разумовская"" Люблинско-Дмитровской линии метрополитена. В. Швецов";"";"метро|строительство метро|Люблинско-Дмитровская линия|станции метро"
"145";"Осмотр реконструкции Ярославского шоссе. М. Хуснуллин";"";"дороги|Марат Хуснуллин|вылетные магистрали"
"146";"Награждение  победителей городского конкурса ""Лучший реализованный проект 2011 года"". М. Хуснуллин, Б. Фролов, С. Лёвкин, А. Максименко";"лучший реализованный проект";"Марат Хуснуллин|Сергей Лёвкин|строительство|конкурсы"
"147";"Субботний объезд объектов строительства в Западном округе Москвы. М. Хуснуллин";"";"Марат Хуснуллин|дороги|школа"
"148";"Осмотр хода строительства электродепо ""Братеево"". С. Собянин, М. Хуснуллин, И. Беседин";"";"Марат Хуснуллин|метро|строительство метро|электродепо|Замоскворецкая линия|Люблинско-Дмитровская линия"
"149";"Закладка Парка метростроителей в Митино. М. Хуснуллин, А. Бочкарев, А. Кульбачевский, В. Говердовский";"парк метростроителей, компенсационное озеленение";"Марат Хуснуллин|Андрей Бочкарев"
"150";"Запуск тоннелепроходческого щита от станции метро ""Юго-Западная"" в сторону станции ""Тропарево"". С. Собянин, М. Хуснуллин, А. Бочкарев";"";"Андрей Бочкарев|метро|строительство метро|тоннели|ТПМК|тоннелепроходческий щит|Сокольническая линия|проходка тоннелей"
"151";"Заседание Коллегии Стройкомплекса. М. Хуснуллин, С. Лёвкин, А. Бочкарев, А. Зайко, К. Тимофеев, И. Солонников, В. Жидкин, А. Антипов, С. Кузнецов, В. Ресин";"коллегия, Стройкомплекс, строительство";"Марат Хуснуллин|Андрей Бочкарев|Сергей Лёвкин|Константин Тимофеев|Сергей Кузнецов|Владимир Жидкин|строительство"
"152";"Запуск автомобильного движения по разворотной эстакаде на Варшавском шоссе около МКАД. С. Собянин, М. Хуснуллин, А. Бочкарев";"";"дороги|Марат Хуснуллин|Андрей Бочкарев|развязки|транспортные развязки|вылетные магистрали|МКАД"
"153";"Осмотр второго вестибюля станции ""Марьина роща"" Люблинско-Дмитровской линии метрополитена. С. Собянин, М. Хуснуллин, А. Бочкарев";"";"Марат Хуснуллин|Андрей Бочкарев|метро|строительство метро|Люблинско-Дмитровская линия|станции метро"
"154";"Совещание по проблемам развития ""новой Москвы"". С. Собянин, М. Хуснуллин, А. Бочкарев, В. Жидкин";"";"Марат Хуснуллин|Андрей Бочкарев|Владимир Жидкин|новая Москва"
"155";"Осмотр хода строительства станции ""Лермонтовский проспект"" Таганско-Краснопресненской линии метро. С. Собянин, М. Хуснуллин, А. Бочкарев, И. Беседин";"";"Марат Хуснуллин|Андрей Бочкарев|метро|строительство метро|Таганско-Краснопресненская линия"
"156";"Завершение проходки первого тоннеля метро от станции ""Улица Старокачаловская"" до ст. ""Лесопарковая"". А. Бочкарев,  В. Швецов";"";"Андрей Бочкарев|метро|строительство метро|Бутовская линия|ТПМК|тоннелепроходческий щит"
"157";"Осмотр хода строительства станции ""Хорошевская"" Третьего пересадочного контура метрополитена.  С. Собянин, М. Хуснуллин, А. Бочкарев";"";"Марат Хуснуллин|Андрей Бочкарев|метро|строительство метро|Третий пересадочный контур|станции метро"
"158";"Осмотр хода строительства эстакады на пересечении Дмитровского шоссе  с Долгопрудненским и Челобитьевским шоссе. С. Собянин, М. Хуснуллин, А. Бочкарев";"";"Марат Хуснуллин|Андрей Бочкарев|вылетные магистрали"
"159";"Осмотр строительства тоннелей на пересечении Каширского шоссе с проспектами Андропова и Пролетарским. М. Хуснуллин, А. Бочкарев";"";"дороги|Марат Хуснуллин|Андрей Бочкарев|развязки|транспортные развязки|вылетные магистрали"
"160";"Пожарно-тактические учения на территории ММДЦ ""Москва-Сити"" с участием специалистов Стройкомплекса";"";"Москва-Сити"
"161";"Осмотр хода строительства станции ""Лесопарковая"" Бутовской линии метрополитена. С. Собянин, М. Хуснуллин, А. Бочкарев";"";"Марат Хуснуллин|метро|строительство метро|Бутовская линия|Андрей Бочкарев|станции метро"
"162";"Московский международный урбанистический форум. С. Собянин, М. Хуснуллин, С. Кузнецов";"";"Марат Хуснуллин|Сергей Кузнецов|форум"
"163";"Награждение журналистов - победителей конкурса ""Медиа-град"". М. Хуснуллин";"";"Марат Хуснуллин|освещение работы Стройкомплекса|конкурсы"
"164";"Субботний объезд: строительство станции ""Алма-Атинская"" Замоскворецкой линии метрополитена. М. Хуснуллин";"";"Марат Хуснуллин|метро|строительство метро|Замоскворецкая линия|станции метро"
"165";"Осмотр хода реконструкции электродепо ""Печатники"". С. Собянин, М. Хуснуллин";"";"Марат Хуснуллин|метро|строительство метро|электродепо|Люблинско-Дмитровская линия"
"166";"Награждение победителей конкурса на разработку концепции развития Московской агломерации (в рамках фестиваля ""Зодчество-2012""). М. Хуснуллин, А. Боков, С. Кузнецов";"";"Марат Хуснуллин|Сергей Кузнецов|конкурсы|фестиваль|Московская агломерация"
"167";"Осмотр хода строительства станции ""Петровско-Разумовская"" Люблинско-Дмитровской линии метро. С. Собянин, М. Хуснуллин, А. Бочкарев";"";"Марат Хуснуллин|Андрей Бочкарев|метро|строительство метро|Люблинско-Дмитровская линия|станции метро"
"168";"Открытие крупнейшего в России пассажирского терминала аэропорта Внуково. С. Иванов, С. Собянин";"";"аэропорты"
"169";"Открытие разворотного тоннеля на Каширском шоссе. С. Собянин, М. Хуснуллин, А. Бочкарев";"";"дороги|Марат Хуснуллин|Андрей Бочкарев|развязки|транспортные развязки|вылетные магистрали"
"170";"Открытие станции ""Алма-Атинская"" Замоскворецкой линии метрополитена. С. Собянин, М. Хуснуллин";"";"Марат Хуснуллин|метро|Замоскворецкая линия|строительство метро|станции метро"
"171";"Открытие отстойно-разворотного корпуса электродепо ""Печатники"". А. Бочкарев, И. Беседин";"";"Андрей Бочкарев|метро|строительство метро|электродепо|Люблинско-Дмитровская линия"
"172";"Осмотр хода строительства транспортной развязки на пересечении Новоясеневского проспекта и Профсоюзной улицы. С. Собянин, М. Хуснуллин, А. Бочкарев";"";"Марат Хуснуллин|Андрей Бочкарев|дороги|развязки|транспортные развязки"
"173";"Осмотр хода строительства станции метро ""Жулебино"". С. Собянин, А. Бочкарев, И. Беседин";"";"Андрей Бочкарев|метро|строительство метро|Таганско-Краснопресненская линия|станции метро"
"176";"Субботний объезд Зеленограда и совещание с участием жителей округа. М. Хуснуллин, А. Смирнов";"";"Марат Хуснуллин|спортивные объекты"
