"name";"description"
"Реконструкция Каширского шоссе: развязка с проспектом Андропова";"<p>Окончание работ летом 2013 года. Схема 2-уровневой развязки на пересечении Каширского шоссе с проспектом Андропова и Пролетарским проспектом.</p>

<p><b style=""line-height: 1.3em;"">Также предполагается строительство&nbsp;подземных пешеходных переходов:</b></p>

<ul>
	<li>на съезде с Каширского шоссе на Пролетарский проспект;</li>
	<li>на Пролетарском проспекте в районе дома №&nbsp;1;</li>
	<li>на Каширском шоссе в районе дома 24.</li>
</ul>

<p><b style=""line-height: 1.3em;"">В результате строительства:</b></p>

<ul>
	<li>на этом участке шоссе нагрузка снизится в 1,2 &ndash; 2,3 раза;</li>
	<li>будет возможен выезд с проспекта Андропова на Каширское шоссе в сторону области и на Пролетарский проспект без пересечения транспортного потока, движущегося по Каширскому шоссе;</li>
	<li>исчезнут 4 светофора.</li>
</ul>"
"Реконструкция Каширского шоссе: разворотный тоннель у МКАД.";""
"Тоннель под улицей Красного Маяка";"<p>Строительство тоннеля под участком трассы от улицы Красного Маяка до улицы Подольских Курсантов позволит разгрузить этот участок Варшавского шоссе на 20 - 30%.</p>

<p><b>В рамках реконструкции предполагается:</b></p>

<ul>
	<li>оптимизация светофорного регулирования;</li>
	<li>устройство заездных карманов на остановках ОТ;</li>
	<li>устройство ограждения по оси центральной разделительной полосы общей продолжительностью 12&nbsp;665 м.</li>
</ul>"
"Механизированные паркинги";"<p><b>Преимущества механизированных паркингов:</b></p>

<ul>
	<li>Размещение большего количества машин на меньшей площади.&nbsp;<span style=""line-height: 1.3em;"">Идеально подходит для плотной городской застройки; </span></li>
	<li><span style=""line-height: 1.3em;"">Возможность использовать как надземное, так и подземное пространство.&nbsp;<span style=""line-height: 1.3em;"">Различные конструктивные исполнения; </span></span></li>
	<li><span style=""line-height: 1.3em;""><span style=""line-height: 1.3em;"">Кражи и автовандализм в автоматических паркингах практически исключаются; </span></span></li>
	<li><span style=""line-height: 1.3em;""><span style=""line-height: 1.3em;"">В</span>​<span style=""line-height: 1.3em;""><span style=""line-height: 1.3em;"">нешний вид паркинга возможно адаптировать под окружающее пространство.&nbsp;</span></span></span></li>
</ul>

<p><span style=""line-height: 1.3em;""><span style=""line-height: 1.3em;"">По планам на 2014 - 2016 гг. приблизительная доля механизированных парковок по ЦАО будет составлять 15 - 20%. </span></span></p>

<p><span style=""line-height: 1.3em;"">Чтобы загрузить автомобиль в механизированный паркинг, необходимо оплатить парковку через терминал, поставить машину на подъемную платформу, которая поднимет автомобиль в ячейку.</span></p>"
"Реконструкция Варшавского шоссе: разворотная эстакада";"<p><b>В рамках реконструкции предполагается:</b></p>

<ul>
	<li>устройство заездных карманов на остановках общественного транспорта;</li>
	<li>строительство 3-полосных боковых проездов;</li>
	<li>возведение эстакады протяженностью 352 м.</li>
</ul>"
"Алабяно-Балтийский тоннель";"<ul>
	<li>тоннель станет частью Серево-Западной хорды;</li>
	<li>движение по Ленинградскому и Волоколамскому шоссе должно разгрузиться на 25%.</li>
</ul>"
"Программа ""Народный гараж""";"<p>В рамках программы количество машиномест возрастет во всех&nbsp;округах города.</p>"
"Статистика обращений на ""горячую линию"" по строительным недоделкам";"<p>Статистика обращений с 01.01.2012 по 15.10.2012.</p>"
"Взаимоувязка городских программ в рамках единой градостроительной политики";""
"Строительство Южной рокады: эстакада на Рублевском шоссе";"<p><b>В рамках строительства предполагается:</b></p>

<ul>
	<li>запуск движения в августе 2013 года;</li>
	<li>строительство эстакады длиной 620 метров;&nbsp;&nbsp;</li>
	<li>расширение основной проезжей части.​</li>
</ul>"
