"id";"name";"meta_keywords";"tags"
"130";"На Пятницкой улице создадут инновационную дорогу";"";"Дороги"
"131";"В 2012 году в Москве снесено 188 самостроев";"";"Самострой"
"132";"Как изменится площадь Тверской Заставы";"";"Дороги|Дорожное строительство|Эстакады"
"133";"В столице построят более 200 новых православных храмов";"";"Программа-200"
"134";"В 2013 году в столице планируют открыть 150 новых ТПУ";"";"ТПУ"
"135";"Детские сады нового поколения";"";"Детские сады"
"136";"""Москва в цифрах"": Тоннель под Каширским шоссе открыт для машин";"";"Дороги|Дорожное строительство|Тоннели|Каширское шоссе"
"137";"Благоустройство парка ""Останкино"" завершат в августе";"";"Общественные парки и сады|новости города"
"138";"Реконструкция усадьбы ""Останкино"" завершится в 2020 году";"";"новости города|Общественные парки и сады"
"139";"Началось строительство пешеходного моста в Красногорске";"";"Дороги|Дорожное строительство"
"140";"Реконструкция депо ""Печатники"" закончится в 2013 году";"";"Развитие метрополитена"
"142";"Сергей Собянин: в 2015 году на севере Москвы появится крупный ТПУ";"";"САО|ТПУ|Сергей Собянин"
"143";"Осмотр хода строительства станции метро ""Селигерская"" Люблинско-Дмитровской линии С. Собянин, М. Хуснуллин";"";"метро «Селигерская»|Марат Хуснуллин|Сергей Собянин"
"145";"25 лет Стройкомплексу Москвы. Спортивный праздник в ""Лужниках"". М. Хуснуллин, В. Лаптев";"";"Стройкомплекс|Марат Хуснуллин"
"146";"Реконструкция Ленинского проспекта отложена до окончания строительства метро";"";"Ленинский проспект|Дороги|Дорожное строительство"
"147";"Осмотр хода реконструкции Можайского путепровода. С. Собянин, М. Хуснуллин";"";"Дорожное строительство|Марат Хуснуллин|Сергей Собянин"
"148";"""Строительство в деталях"": Как обустроят набережную Москвы-реки";"";"новости города"
"149";"""Интервью"": Андрей Бочкарев рассказал о планах на строительство метро";"";"Андрей Бочкарев|Дороги|Дорожное строительство|Развитие метрополитена"
"150";"В 2013 году в Москве построят почти 300 гаражных комплексов";"";"Строительство гаражей-стоянок"
